problem,epsilon,seed,mu_mode,iterations,elapsed_seconds,objective_value,dual_value,gap,mu_final,stages,converged,predicted_iterations,percent_of_predicted
piecewise_linear_max_abs,0.001,0,continuation_mu,44416,4.295850700000301,0.49025916733675917,0.48925921595668953,0.0009999513800696413,7.816249778396313e-05,3,True,63791,69.62737690269788
piecewise_linear_max_abs,0.001,1,fixed_mu,35019,3.052374199996848,0.5350993065441714,0.5340993459045571,0.0009999606396142724,7.816249778396313e-05,1,True,63785,54.90162263855138
piecewise_linear_max_abs,0.001,1,continuation_mu,45116,3.902742999998736,0.535114285699946,0.5341143596893502,0.0009999260105958419,7.816249778396313e-05,3,True,63785,70.73136317315983
piecewise_linear_max_abs,0.001,2,fixed_mu,34506,2.622694199999387,0.5159808884007344,0.5149809034553486,0.000999984945385779,7.816249778396313e-05,1,True,64332,53.63738108561836
piecewise_linear_max_abs,0.001,2,continuation_mu,44802,3.398613100001967,0.5159815175494464,0.5149815435851893,0.000999973964257106,7.816249778396313e-05,3,True,64332,69.64185786233912
piecewise_linear_max_abs,0.001,3,fixed_mu,34074,2.592483100001118,0.497476657953419,0.4964766604900731,0.000999997463345892,7.816249778396313e-05,1,True,63894,53.32895107521833
piecewise_linear_max_abs,0.001,3,continuation_mu,44165,3.370497499996418,0.497480401801243,0.49648041315002067,0.0009999886512223055,7.816249778396313e-05,3,True,63894,69.12229630325226
piecewise_linear_max_abs,0.001,4,fixed_mu,34175,2.606389399999898,0.49664229514237035,0.4956423527001167,0.000999942442253654,7.816249778396313e-05,1,True,62530,54.65376619222773
piecewise_linear_max_abs,0.001,4,continuation_mu,43742,3.3194570999985444,0.4966405878802887,0.4956406128246852,0.000999975055603508,7.816249778396313e-05,3,True,62530,69.95362226131456
piecewise_linear_max_abs,0.0001,0,fixed_mu,292712,25.15816420000192,0.4590345559971216,0.4589345568237631,9.99991733585115e-05,7.816249778396313e-06,1,True,631518,46.35053949372781
piecewise_linear_max_abs,0.0001,0,continuation_mu,377560,32.56452569999965,0.45903337865740657,0.45893337896918995,9.999968821661209e-05,7.816249778396313e-06,3,True,631518,59.786102692243134
piecewise_linear_max_abs,0.0001,1,fixed_mu,252666,21.793972100000246,0.49466398530834965,0.4945639871925684,9.99981157812635e-05,7.816249778396313e-06,1,True,629758,40.12112589280327
piecewise_linear_max_abs,0.0001,1,continuation_mu,319169,24.373034199994436,0.4946612027499627,0.4945612053641318,9.999738583094109e-05,7.816249778396313e-06,3,True,629758,50.681214053652354
piecewise_linear_max_abs,0.0001,2,fixed_mu,253505,19.14845720000085,0.5240569842564462,0.5239569842635278,9.999999291843142e-05,7.816249778396313e-06,1,True,633549,40.013479620360854
piecewise_linear_max_abs,0.0001,2,continuation_mu,321169,24.651117900000827,0.5240546580415477,0.5239546609583896,9.999708315810985e-05,7.816249778396313e-06,3,True,633549,50.69363222102789
piecewise_linear_max_abs,0.0001,3,fixed_mu,259366,20.291220600000088,0.4535702401896551,0.4534702403733694,9.999981628566745e-05,7.816249778396313e-06,1,True,639875,40.5338542684118
